project,camera,mark,Model,FOV,species,image_name,number,dates,times,diel,datetimes,deltatime,longitude,latitude,radian
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0037.JPG,1,3/10/24,20:09:27,0.157615741,3/10/24 20:09,11081,343014,1026380,5.27722116
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0037 (3).JPG,1,3/10/24,20:09:27,0.157615741,3/10/24 20:09,0,343014,1026380,5.27722116
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0038.JPG,1,3/10/24,20:09:28,0.157615741,3/10/24 20:09,1,343014,1026380,5.277293882
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0039.JPG,1,3/10/24,20:09:28,0.157615741,3/10/24 20:09,0,343014,1026380,5.277293882
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0038 (3).JPG,1,3/10/24,20:09:28,0.157615741,3/10/24 20:09,0,343014,1026380,5.277293882
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0039 (3).JPG,1,3/10/24,20:09:28,0.157615741,3/10/24 20:09,0,343014,1026380,5.277293882
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0041.JPG,1,3/10/24,20:10:31,0.157615741,3/10/24 20:10,63,343014,1026380,5.281875371
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0041 (4).JPG,1,3/10/24,20:10:31,0.157615741,3/10/24 20:10,0,343014,1026380,5.281875371
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0042.JPG,1,3/10/24,20:10:32,0.157615741,3/10/24 20:10,1,343014,1026380,5.281948093
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0043.JPG,1,3/10/24,20:10:32,0.157615741,3/10/24 20:10,0,343014,1026380,5.281948093
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0042 (4).JPG,1,3/10/24,20:10:32,0.157615741,3/10/24 20:10,0,343014,1026380,5.281948093
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0043 (4).JPG,1,3/10/24,20:10:32,0.157615741,3/10/24 20:10,0,343014,1026380,5.281948093
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0045.JPG,1,3/10/24,20:10:50,0.157615741,3/10/24 20:10,18,343014,1026380,5.28325709
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0045 (4).JPG,1,3/10/24,20:10:50,0.157615741,3/10/24 20:10,0,343014,1026380,5.28325709
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0046.JPG,1,3/10/24,20:10:51,0.157615741,3/10/24 20:10,1,343014,1026380,5.283329812
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0047.JPG,1,3/10/24,20:10:51,0.157615741,3/10/24 20:10,0,343014,1026380,5.283329812
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0046 (4).JPG,1,3/10/24,20:10:51,0.157615741,3/10/24 20:10,0,343014,1026380,5.283329812
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0047 (4).JPG,1,3/10/24,20:10:51,0.157615741,3/10/24 20:10,0,343014,1026380,5.283329812
Last,CAMERA 3,GardePro,A3S,47.40533194,Lepus crawshayi,DSCF0001.JPG,1,3/12/24,0:07:36,0.157615741,3/12/24 0:07,0,343060,1026479,0.033161256
Last,CAMERA 3,GardePro,A3S,47.40533194,Lepus crawshayi,DSCF0002.JPG,1,3/12/24,0:07:37,0.157615741,3/12/24 0:07,1,343060,1026479,0.033233978
Last,CAMERA 3,GardePro,A3S,47.40533194,Lepus crawshayi,DSCF0003.JPG,1,3/12/24,0:07:37,0.157615741,3/12/24 0:07,0,343060,1026479,0.033233978
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0001 (2).JPG,1,3/12/24,2:54:31,0.157615741,3/12/24 2:54,0,342968,1026415,0.761472608
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0002 (2).JPG,1,3/12/24,2:54:31,0.157615741,3/12/24 2:54,0,342968,1026415,0.761472608
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0003 (2).JPG,1,3/12/24,2:54:32,0.157615741,3/12/24 2:54,1,342968,1026415,0.76154533
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0005 (2).JPG,1,3/12/24,2:55:55,0.157615741,3/12/24 2:55,83,342968,1026415,0.767581261
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0006 (2).JPG,1,3/12/24,2:55:55,0.157615741,3/12/24 2:55,0,342968,1026415,0.767581261
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0007 (2).JPG,2,3/12/24,2:55:59,0.157615741,3/12/24 2:55,4,342968,1026415,0.767872149
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0009 (2).JPG,5,3/12/24,4:16:32,0.157615741,3/12/24 4:16,4833,342968,1026415,1.119337827
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0010 (2).JPG,5,3/12/24,4:16:32,0.157615741,3/12/24 4:16,0,342968,1026415,1.119337827
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0011 (2).JPG,5,3/12/24,4:16:33,0.157615741,3/12/24 4:16,1,342968,1026415,1.119410549
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0049.JPG,1,3/12/24,4:20:43,0.157615741,3/12/24 4:20,115792,343014,1026380,1.137591062
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0049 (3).JPG,1,3/12/24,4:20:43,0.157615741,3/12/24 4:20,0,343014,1026380,1.137591062
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0050.JPG,2,3/12/24,4:20:44,0.157615741,3/12/24 4:20,1,343014,1026380,1.137663784
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0051.JPG,2,3/12/24,4:20:44,0.157615741,3/12/24 4:20,0,343014,1026380,1.137663784
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0050 (3).JPG,2,3/12/24,4:20:44,0.157615741,3/12/24 4:20,0,343014,1026380,1.137663784
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0051 (3).JPG,2,3/12/24,4:20:44,0.157615741,3/12/24 4:20,0,343014,1026380,1.137663784
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0053.JPG,2,3/12/24,4:20:58,0.157615741,3/12/24 4:20,14,343014,1026380,1.138681893
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0053 (3).JPG,2,3/12/24,4:20:58,0.157615741,3/12/24 4:20,0,343014,1026380,1.138681893
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0054.JPG,2,3/12/24,4:20:59,0.157615741,3/12/24 4:20,1,343014,1026380,1.138754615
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0055.JPG,2,3/12/24,4:20:59,0.157615741,3/12/24 4:20,0,343014,1026380,1.138754615
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0054 (3).JPG,2,3/12/24,4:20:59,0.157615741,3/12/24 4:20,0,343014,1026380,1.138754615
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0055 (3).JPG,2,3/12/24,4:20:59,0.157615741,3/12/24 4:20,0,343014,1026380,1.138754615
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0057.JPG,4,3/12/24,4:21:32,0.157615741,3/12/24 4:21,33,343014,1026380,1.141154443
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0057 (2).JPG,4,3/12/24,4:21:32,0.157615741,3/12/24 4:21,0,343014,1026380,1.141154443
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0058.JPG,4,3/12/24,4:21:33,0.157615741,3/12/24 4:21,1,343014,1026380,1.141227165
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0059.JPG,4,3/12/24,4:21:33,0.157615741,3/12/24 4:21,0,343014,1026380,1.141227165
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0058 (2).JPG,4,3/12/24,4:21:33,0.157615741,3/12/24 4:21,0,343014,1026380,1.141227165
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0059 (2).JPG,4,3/12/24,4:21:33,0.157615741,3/12/24 4:21,0,343014,1026380,1.141227165
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0061.JPG,4,3/12/24,4:21:53,0.157615741,3/12/24 4:21,20,343014,1026380,1.142681606
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0061 (2).JPG,4,3/12/24,4:21:53,0.157615741,3/12/24 4:21,0,343014,1026380,1.142681606
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0062.JPG,5,3/12/24,4:21:54,0.157615741,3/12/24 4:21,1,343014,1026380,1.142754328
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0063.JPG,4,3/12/24,4:21:54,0.157615741,3/12/24 4:21,0,343014,1026380,1.142754328
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0062 (2).JPG,5,3/12/24,4:21:54,0.157615741,3/12/24 4:21,0,343014,1026380,1.142754328
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0063 (2).JPG,4,3/12/24,4:21:54,0.157615741,3/12/24 4:21,0,343014,1026380,1.142754328
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0065.JPG,3,3/12/24,4:22:09,0.157615741,3/12/24 4:22,15,343014,1026380,1.143845159
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0065 (3).JPG,3,3/12/24,4:22:09,0.157615741,3/12/24 4:22,0,343014,1026380,1.143845159
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0066.JPG,3,3/12/24,4:22:10,0.157615741,3/12/24 4:22,1,343014,1026380,1.143917881
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0067.JPG,3,3/12/24,4:22:10,0.157615741,3/12/24 4:22,0,343014,1026380,1.143917881
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0066 (3).JPG,3,3/12/24,4:22:10,0.157615741,3/12/24 4:22,0,343014,1026380,1.143917881
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0067 (3).JPG,3,3/12/24,4:22:10,0.157615741,3/12/24 4:22,0,343014,1026380,1.143917881
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0069.JPG,4,3/12/24,4:23:01,0.157615741,3/12/24 4:23,51,343014,1026380,1.147626705
