"project","camera","species","image_name","number","Make","Model","FOV","dates","times","FocalLength","diel","datetimes","deltatime","longitude","latitude","radian"
"Last","CAMERA 10","Syncerus caffer","DSCF0037.JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:09:27",6.4,0.157615741,"2024-03-10 20:09:27",11081,343014,1026380,5.27722115956135
"Last","CAMERA 10","Syncerus caffer","DSCF0037 (3).JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:09:27",6.4,0.157615741,"2024-03-10 20:09:27",0,343014,1026380,5.27722115956135
"Last","CAMERA 10","Syncerus caffer","DSCF0038.JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:09:28",6.4,0.157615741,"2024-03-10 20:09:28",1,343014,1026380,5.27729388161352
"Last","CAMERA 10","Syncerus caffer","DSCF0039.JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:09:28",6.4,0.157615741,"2024-03-10 20:09:28",0,343014,1026380,5.27729388161352
"Last","CAMERA 10","Syncerus caffer","DSCF0038 (3).JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:09:28",6.4,0.157615741,"2024-03-10 20:09:28",0,343014,1026380,5.27729388161352
"Last","CAMERA 10","Syncerus caffer","DSCF0039 (3).JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:09:28",6.4,0.157615741,"2024-03-10 20:09:28",0,343014,1026380,5.27729388161352
"Last","CAMERA 10","Syncerus caffer","DSCF0041.JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:31",6.4,0.157615741,"2024-03-10 20:10:31",63,343014,1026380,5.28187537090001
"Last","CAMERA 10","Syncerus caffer","DSCF0041 (4).JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:31",6.4,0.157615741,"2024-03-10 20:10:31",0,343014,1026380,5.28187537090001
"Last","CAMERA 10","Syncerus caffer","DSCF0042.JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:32",6.4,0.157615741,"2024-03-10 20:10:32",1,343014,1026380,5.28194809295217
"Last","CAMERA 10","Syncerus caffer","DSCF0043.JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:32",6.4,0.157615741,"2024-03-10 20:10:32",0,343014,1026380,5.28194809295217
"Last","CAMERA 10","Syncerus caffer","DSCF0042 (4).JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:32",6.4,0.157615741,"2024-03-10 20:10:32",0,343014,1026380,5.28194809295217
"Last","CAMERA 10","Syncerus caffer","DSCF0043 (4).JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:32",6.4,0.157615741,"2024-03-10 20:10:32",0,343014,1026380,5.28194809295217
"Last","CAMERA 10","Syncerus caffer","DSCF0045.JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:50",6.4,0.157615741,"2024-03-10 20:10:50",18,343014,1026380,5.28325708989117
"Last","CAMERA 10","Syncerus caffer","DSCF0045 (4).JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:50",6.4,0.157615741,"2024-03-10 20:10:50",0,343014,1026380,5.28325708989117
"Last","CAMERA 10","Syncerus caffer","DSCF0046.JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:51",6.4,0.157615741,"2024-03-10 20:10:51",1,343014,1026380,5.28332981194333
"Last","CAMERA 10","Syncerus caffer","DSCF0047.JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:51",6.4,0.157615741,"2024-03-10 20:10:51",0,343014,1026380,5.28332981194333
"Last","CAMERA 10","Syncerus caffer","DSCF0046 (4).JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:51",6.4,0.157615741,"2024-03-10 20:10:51",0,343014,1026380,5.28332981194333
"Last","CAMERA 10","Syncerus caffer","DSCF0047 (4).JPG",1,"GardePro","A3S",47.40533194,"3/10/24","20:10:51",6.4,0.157615741,"2024-03-10 20:10:51",0,343014,1026380,5.28332981194333
"Last","CAMERA 3","Lepus crawshayi","DSCF0001.JPG",1,"GardePro","A3S",47.40533194,"3/12/24","0:07:36",6.4,0.157615741,"2024-03-12 0:07:36",0,343060,1026479,0.0331612557878923
"Last","CAMERA 3","Lepus crawshayi","DSCF0002.JPG",1,"GardePro","A3S",47.40533194,"3/12/24","0:07:37",6.4,0.157615741,"2024-03-12 0:07:37",1,343060,1026479,0.0332339778400587
"Last","CAMERA 3","Lepus crawshayi","DSCF0003.JPG",1,"GardePro","A3S",47.40533194,"3/12/24","0:07:37",6.4,0.157615741,"2024-03-12 0:07:37",0,343060,1026479,0.0332339778400587
"Last","CAMERA 5","Syncerus caffer","DSCF0001 (2).JPG",1,"GardePro","A3S",47.40533194,"3/12/24","2:54:31",6.4,0.157615741,"2024-03-12 2:54:31",0,342968,1026415,0.761472608234693
"Last","CAMERA 5","Syncerus caffer","DSCF0002 (2).JPG",1,"GardePro","A3S",47.40533194,"3/12/24","2:54:31",6.4,0.157615741,"2024-03-12 2:54:31",0,342968,1026415,0.761472608234693
"Last","CAMERA 5","Syncerus caffer","DSCF0003 (2).JPG",1,"GardePro","A3S",47.40533194,"3/12/24","2:54:32",6.4,0.157615741,"2024-03-12 2:54:32",1,342968,1026415,0.761545330286859
"Last","CAMERA 5","Syncerus caffer","DSCF0005 (2).JPG",1,"GardePro","A3S",47.40533194,"3/12/24","2:55:55",6.4,0.157615741,"2024-03-12 2:55:55",83,342968,1026415,0.767581260616673
"Last","CAMERA 5","Syncerus caffer","DSCF0006 (2).JPG",1,"GardePro","A3S",47.40533194,"3/12/24","2:55:55",6.4,0.157615741,"2024-03-12 2:55:55",0,342968,1026415,0.767581260616673
"Last","CAMERA 5","Syncerus caffer","DSCF0007 (2).JPG",2,"GardePro","A3S",47.40533194,"3/12/24","2:55:59",6.4,0.157615741,"2024-03-12 2:55:59",4,342968,1026415,0.767872148825339
"Last","CAMERA 5","Syncerus caffer","DSCF0009 (2).JPG",5,"GardePro","A3S",47.40533194,"3/12/24","4:16:32",6.4,0.157615741,"2024-03-12 4:16:32",4833,342968,1026415,1.1193378269457
"Last","CAMERA 5","Syncerus caffer","DSCF0010 (2).JPG",5,"GardePro","A3S",47.40533194,"3/12/24","4:16:32",6.4,0.157615741,"2024-03-12 4:16:32",0,342968,1026415,1.1193378269457
